,prompt,file_names
0,3 sheep enjoying spaghetti together,0029.mp4
1,"The teddy bear and rabbit were snuggled up together. The teddy bear was hugging the rabbit, and the rabbit was nuzzled up to the teddy bear's soft fur.",0033.mp4
2,A pair of bright green tree frogs cling to a branch in a vibrant tropical rainforest.,0035.mp4
3,the brides of dracula,0051.mp4
4,Darth Vader watches as the sea becomes calm once again.,0052.mp4
5,"fashion portrait shoot of a girl in colorful glasses, a breeze moves her hair",0065.mp4
6,A woman with striking blue eyes and curly hair.,0067.mp4
7,Two whales and a violin player,0070.mp4
8,1 bear and 2 people making pizza,0074.mp4
9,"A family of five go on a safari, marveling at the sight of majestic giraffes and zebras.",0075.mp4
10,"A team of eight firefighters rescue a group of cats from a burning building, carefully carrying them to safety",0077.mp4
11,"A family of three take their dog and cat for a walk in the park, enjoying the fresh air and exercise.",0078.mp4
12,"Bruce Lee shout like a lion ,wild fighter",0100.mp4
13,A young man is riding a bicycle on a sunny day. He is wearing a blue hoodie and black jeans. His hair is brown and styled messily. He has a small scar above his left eye.,0106.mp4
14,cyberpunk people driving a spaceship,0113.mp4
15,"A family of four set up a tent and build a campfire, enjoying a night of camping under the stars",0116.mp4
16,"A group of seven students study for their final exams, fueled by determination and coffee.",0119.mp4
17,A person is holding two hamburgers and showing something to the camera.,0120.mp4
18,"Five children play on swings in the park, with a balloon stand nearby.",0125.mp4
19,"Four friends have a picnic, enjoying six sandwiches and two bottles of juice",0126.mp4
20,A couple shares a milkshake with two straws at a retro diner.,0128.mp4
21,A young couple dances under the moonlight by the lake.,0135.mp4
22,A serene river flowing gently under a rustic wooden bridge.,0161.mp4
23,The video depicts the bustling street of Singapore's Chinatown. People are seen walking around under the bright neon lights of the shops and restaurants. The camera pans around to capture the vibrancy of the scene.,0172.mp4
24,A bright yellow umbrella with a wooden handle. It's compact and easy to carry.,0180.mp4
25,A pair of sleek black skis,0190.mp4
26,the word 'START' written on a street surface,0196.mp4
27,"Boats on the calm, blue ocean",0203.mp4
28,A grey Yamaha motorcycle and a yellow Trek bicycle race.,0205.mp4
29,a blue pickup truck with a rhinoceros in its flatbed,0210.mp4
30,"A large round pizza with toppings of melted cheese, pepperoni, and grilled zucchini slices.",0217.mp4
31,"A delicious hamburger with juicy beef patty, crispy lettuce and melted cheese.",0218.mp4
32,A spacious refrigerator standing tall in the modern kitchen,0229.mp4
